Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Turks and Caicos Islands,,0.09783,0.10816,0.08378,0.08378,0.08355,0.08378,0.08,0.47008,1.04236,1.06279,1.06279,1.06279
Uruguay,,6.16842,6.01658,9.71633,7.10811,4.46781,5.53397,15.67468,13.90466,22.05633,23.66675,16.41986,16.41986
Venezuela,,0,0,0,0,0,0,0,0,116.43732,0,16.65726,16.65726
Virgin Islands  U.S.,,23.27145,17.66783,15.24658,18.04384,14.18579,14.22466,13.73973,17.00548,5.18,1.32055,5.73151,5.73151
Virgin Islands British,,0.41139,0.41252,0.41252,0.47677,0.60434,0.64981,0.69142,0.75189,0.783,0.77261,0.77261,0.77261
Albania,,14.88079,16.39614,20.90616,22.86433,23.22962,24.75619,21.85992,22.88381,24.6131,12.84838,22.81496,22.81496
Austria,,90.42216,97.33227,105.68784,130.33945,145.87948,149.41849,149.52137,142.77236,129.97566,144.77529,158.27751,158.27751
Belgium,,301.19557,322.10551,312.15907,314.20153,346.43937,406.76696,382.2323,343.60888,354.40609,421.17756,355.08112,355.08112
Bosnia and Herzegovina,,19.23178,19.28447,20.12625,21.76819,24.94068,27.36578,22.98918,23.88915,23.94962,9.03447,16.33211,16.33211
Bulgaria,,27.23664,16.10403,17.81301,22.48745,21.26732,25.83197,36.036,35.37915,29.93603,33.37597,50.13482,50.13482
Croatia,,4.97822,9.92167,16.79296,15.25227,20.48855,20.54468,29.41685,28.02885,40.8494,23.87745,28.49507,28.49507
Cyprus,,27.01806,26.39044,29.32595,33.2371,46.77627,55.9734,58.93011,57.28951,60.31449,57.85222,58.30942,58.30942
Czech Republic,,61.92779,73.28641,67.90132,68.31129,73.70085,67.99578,62.3586,68.30795,48.66801,66.62397,54.23729,54.23729
Denmark,,105.3006,103.09205,98.7294,96.24258,98.29516,116.94504,111.13178,113.70132,116.6165,103.08348,124.14342,124.14342
Faroe Islands,,4.46232,4.45795,4.49115,4.53496,4.57989,4.63625,4.92167,4.77551,4.85893,4.87937,4.66072,4.66072
Finland,,75.62404,81.45249,73.67175,91.97408,83.31082,103.0106,93.96452,97.52096,91.56328,123.74745,113.75005,113.75005
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,35.98057,30.75523,31.51964,11.22688,9.53153,9.84847,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--
France,,554.03536,542.45126,608.36836,569.04236,663.63891,759.96751,736.45274,716.71247,581.84997,798.12981,834.8354,834.8354
Germany,,913.32546,945.86132,784.81523,777.92082,735.38049,756.04644,794.29405,622.70496,538.97921,702.39808,758.08208,758.08208
Germany East,,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,41.08896,22.67871,23.06962,23.66844,24.35363,25.08392,25.61384,26.40225,27.00222,27.79063,28.37647,28.37647
Greece,,64.43189,67.754,84.70836,96.36175,118.43101,121.92759,122.76466,95.31592,120.10049,196.56011,133.12482,133.12482
Hungary,,20.86158,24.03995,40.39088,36.35929,37.17511,45.69362,47.678,51.5189,41.49333,54.39318,59.87819,59.87819
Iceland,,17.61257,15.62118,15.87405,15.0714,17.45279,17.44707,17.50592,17.75425,16.0376,15.53263,14.16329,14.16329
Ireland,,119.77467,141.64595,141.69189,137.80855,145.73437,127.88866,142.588,132.68211,117.04046,121.38332,127.38425,127.38425
Italy,,355.91754,320.25756,312.45096,282.14381,288.4356,278.87279,277.79762,254.64449,147.50754,388.23581,393.31422,393.31422
Luxembourg,,49.04402,50.73696,52.31279,56.00397,61.07216,63.76266,62.11307,60.02556,58.92402,51.93148,56.78479,56.78479
Macedonia,,7.74609,8.43721,13.10888,8.03742,5.66205,5.0109,5.59047,2.73085,4.7311,7.43896,8.15742,8.15742
Malta,,18.33172,14.99419,17.98227,17.98227,18.20814,18.91285,17.91038,18.42041,36.57995,39.23107,47.04912,47.04912
Montenegro,,--,--,--,--,--,--,2.891,3.149,3.66632,3.77344,3.29992,3.29992
Netherlands,,955.19101,1000.08395,1085.75156,1086.69871,1192.38648,1335.16737,1547.57573,1355.00512,1065.9759,1958.05693,2079.17595,2079.17595
Norway,,74.92358,71.46203,70.4963,78.18189,81.58063,76.70466,83.66641,83.63449,70.1138,98.33899,99.99551,99.99551
Poland,,61.48292,62.64721,82.63595,110.68712,123.88314,134.77463,143.11488,158.88447,129.81167,155.63279,137.6586,137.6586
Portugal,,100.27426,93.45348,99.37625,81.9246,80.83249,100.56975,68.66792,76.49589,56.05918,99.01348,84.08038,84.08038
Romania,,28.81022,39.83337,34.37088,37.54984,35.20309,29.42151,21.98093,24.1471,34.24603,32.83515,44.07488,44.07488
Serbia,,--,--,--,--,--,--,36.14812,19.12998,25.47249,26.04792,29.29307,29.29307
Slovakia,,6.05052,10.83742,19.19688,17.69874,20.16869,23.80901,25.99978,24.3214,21.69262,26.55375,28.38,28.38
Slovenia,,52.32167,54.57096,53.54622,53.87855,55.67577,58.94682,63.08444,60.27414,75.97773,63.90463,68.32425,68.32425
Spain,,402.74011,430.71778,462.79781,485.60521,511.70219,556.88636,561.82921,623.44775,408.61322,602.75638,566.19647,566.19647
Sweden,,128.51139,136.35795,138.15627,175.48542,160.79342,169.46068,173.19512,172.73526,156.08691,174.41789,187.3303,187.3303
Switzerland,,167.03093,188.96181,176.88211,172.13811,159.18503,173.38458,163.84767,149.90074,154.73836,178.87375,157.62737,157.62737
Turkey,,222.31123,150.51022,188.25548,206.32397,241.85852,242.33945,293.31721,319.16173,276.01634,415.54649,301.31953,301.31953
