Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Uruguay,3.21979,3.23119,3.24159,3.25065,3.25847,3.26491,3.27131,3.27888,3.28637,3.29377,3.30108,3.30854
Venezuela,23.49275,23.84387,24.19177,24.54543,24.90462,25.26918,25.64146,26.02353,26.41482,26.81484,27.22323,27.63574
Virgin Islands  U.S.,0.10864,0.10839,0.10821,0.10809,0.10795,0.10786,0.1077,0.10742,0.10709,0.10671,0.10627,0.10578
Virgin Islands British,0.02251,0.0232,0.02386,0.02449,0.02514,0.02587,0.02668,0.02746,0.02818,0.0289,0.02964,0.03039
Albania,3.15835,3.128,3.09803,3.06967,3.04564,3.02453,3.00578,2.99158,2.98412,2.98254,2.98695,2.99467
Austria,8.11341,8.13169,8.14831,8.16266,8.17476,8.18469,8.19288,8.19978,8.20553,8.21028,8.21416,8.21728
Belgium,10.26362,10.29168,10.31197,10.33082,10.34828,10.36439,10.37907,10.39223,10.40395,10.41434,10.42349,10.43148
Bosnia and Herzegovina,3.80551,3.82236,3.82664,3.84273,3.87689,3.8931,3.89441,3.89185,3.88895,3.88694,3.8849,3.88236
Bulgaria,7.8185,7.73842,7.6618,7.5884,7.51797,7.45035,7.38537,7.32286,7.26268,7.20469,7.14879,7.09364
Croatia,4.41083,4.43911,4.48102,4.49778,4.49687,4.4959,4.49475,4.49331,4.49154,4.48941,4.48688,4.4838
Cyprus,0.91968,0.93263,0.94681,0.96465,0.98719,1.01074,1.03103,1.04891,1.06682,1.08475,1.10268,1.12049
Czech Republic,10.27013,10.26231,10.2563,10.25109,10.24618,10.24114,10.23546,10.22874,10.22091,10.2119,10.20171,10.19021
Denmark,5.33742,5.35583,5.37469,5.39414,5.41339,5.43234,5.45066,5.46812,5.48472,5.50051,5.51558,5.52989
Faroe Islands,0.04579,0.04659,0.04735,0.04795,0.04829,0.04831,0.04832,0.04849,0.04867,0.04886,0.04906,0.04927
Finland,5.1686,5.18031,5.19304,5.20441,5.21451,5.22344,5.23137,5.23846,5.24475,5.25028,5.25507,5.25925
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,10.03677,9.99537,10.00203,9.99637,9.98628,9.96876,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,61.25536,61.60593,61.96362,62.3119,62.67843,63.05974,63.45687,63.85286,64.22025,64.57993,64.94083,65.29609
Germany,82.18367,82.32066,82.45842,82.50455,82.48721,82.43942,82.34636,82.23686,82.06537,81.8377,81.64445,81.47183
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.02727,0.02802,0.0282,0.02832,0.02841,0.02846,0.02854,0.02861,0.02871,0.0288,0.02888,0.02896
Greece,10.55911,10.58152,10.60386,10.62595,10.64753,10.66835,10.68806,10.70629,10.72282,10.73743,10.74994,10.76014
Hungary,10.14743,10.12993,10.11278,10.09199,10.07261,10.05762,10.04627,10.03423,10.02048,10.00717,9.99234,9.97606
Iceland,0.28104,0.28481,0.28803,0.29106,0.29397,0.29674,0.29939,0.30193,0.30437,0.30669,0.30891,0.31106
Ireland,3.8222,3.8727,3.93313,4.00217,4.09116,4.19919,4.30902,4.41998,4.51771,4.58,4.62292,4.67098
Italy,57.78437,57.93105,58.0767,58.33602,58.716,59.03781,59.27288,59.62672,60.09131,60.46159,60.74897,61.0168
Kosovo,--,--,--,--,--,--,--,--,1.79498,1.80484,1.81505,1.82563
Luxembourg,0.43878,0.44478,0.45079,0.45676,0.46269,0.46857,0.47441,0.48022,0.48601,0.49178,0.49754,0.5033
Macedonia,2.01451,2.02391,2.03044,2.03515,2.04009,2.04526,2.05055,2.05592,2.06132,2.06672,2.07209,2.07733
Malta,0.38995,0.39187,0.39352,0.39518,0.39685,0.39853,0.40021,0.40188,0.40353,0.40517,0.40677,0.40833
Montenegro,--,--,--,--,--,--,0.69187,0.68474,0.67818,0.67218,0.66673,0.66181
Netherlands,15.93018,16.04681,16.14547,16.21661,16.26634,16.2991,16.32044,16.35102,16.41006,16.49041,16.57384,16.65373
Norway,4.4924,4.5152,4.53559,4.5554,4.57456,4.59304,4.61082,4.62793,4.64446,4.66054,4.67631,4.69185
Poland,38.65416,38.64364,38.62598,38.60285,38.58044,38.55798,38.53687,38.51824,38.5007,38.48292,38.46369,38.44159
Portugal,10.3356,10.38675,10.43387,10.47996,10.52415,10.56621,10.60587,10.64284,10.67691,10.70792,10.73577,10.76031
Romania,22.44735,22.4155,22.36575,22.30468,22.24763,22.19716,22.15048,22.10615,22.06081,22.01182,21.95928,21.90455
Serbia,--,--,--,--,--,--,9.2528,9.23257,7.41388,7.37934,7.34485,7.31056
Slovakia,5.40032,5.40468,5.41005,5.41641,5.42357,5.43136,5.43945,5.4475,5.45541,5.46305,5.47031,5.47704
Slovenia,2.01056,2.01118,2.0115,2.0116,2.01147,2.01107,2.01035,2.00925,2.00771,2.00569,2.00314,2.00009
Spain,40.589,41.04689,41.63961,42.32103,43.00016,43.70437,44.43175,45.21164,45.91037,46.29524,46.50596,46.75478
Sweden,8.92357,8.93991,8.95417,8.97031,8.9864,9.00177,9.0166,9.03109,9.04539,9.05965,9.07406,9.08873
Switzerland,7.27725,7.31222,7.34865,7.38454,7.41734,7.44822,7.47865,7.52953,7.611,7.69323,7.76986,7.8501
Turkey,67.3293,68.4049,69.47904,70.54864,71.61354,72.67381,73.72612,74.76784,75.79384,76.80552,77.80412,78.78555
United Kingdom,59.13997,59.37473,59.60152,59.82362,60.12695,60.48735,60.84681,61.24926,61.6426,61.99685,62.34845,62.69836
Armenia,3.04256,3.02759,3.01382,3.00171,2.99136,2.9829,2.97637,2.97165,2.96859,2.967,2.9668,2.96798
Azerbaijan,8.46308,8.53231,8.59765,8.66291,8.73781,8.82544,8.91917,9.01504,9.11109,9.20678,9.30167,9.39728
Belarus,10.03339,9.99948,9.95488,9.9049,9.85565,9.80645,9.76371,9.73333,9.71205,9.69633,9.68007,9.66151
Estonia,1.37984,1.36998,1.36012,1.35072,1.34166,1.33289,1.32433,1.31591,1.3076,1.29937,1.29117,1.28296
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,4.77721,4.74616,4.72836,4.71092,4.69389,4.6774,4.66147,4.646,4.63084,4.61581,4.60083,4.58587
