Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Maldives,3.13604,3.37441,6.18699,6.96359,4.87287,3.89359,5.40625,6.088,6.23693,6.94142,6.94007,7,7.31153
Mongolia,8.49533,9.86241,10.67178,10.34825,12.27549,12.63121,13.88156,15.37562,18.16395,16.52548,17.35553,19,23.26291
Nauru,0.96495,0.96759,1.00756,1.00756,1.02301,1.04918,1.02581,1.04405,1.04405,1.07541,1.07541,1,1
Nepal,14.90361,15.25786,15.50816,15.67241,16.15372,16.71896,16.9189,16.70052,17.24668,19.98597,21.93959,20,18.88741
New Caledonia,8.58825,8.61178,10.01521,10.01521,11.37213,11.42321,13.78266,13.93797,13.81614,14.54929,14.54925,15,14.35224
New Zealand,133.8224,134.8822,140.7178,145.5315,150.2732,152.7617,154.3151,156.0027,157.3142,150.6575,151.6575,150.8657,151.0492
Niue,0.02038,0.02044,0.02044,0.02044,0.02038,0.02657,0.03066,0.0327,0.02257,0.02257,0.02257,0.02,0.02
Pakistan,365.01437,360.12451,355.89488,336.59883,326.84615,336.18628,357.0768,382.25948,389.75161,390.93525,392.30028,418,440.10731
Papua New Guinea,14.94098,14.98192,22.03548,25.17555,25.01649,25.07973,26.52887,26.43784,19.74231,19.72797,19.90396,20,20.04708
Philippines,352.76879,346.85363,337.75398,332.60964,337.22418,340.7884,332.46999,314.27814,300.23491,295.11376,309.24587,316,302.27944
Samoa,0.96989,0.97255,1.01636,1.01636,1.06019,1.12808,1.10471,1.12515,1.12515,1.14852,1.14852,1.1,1.09627
Singapore,660.3006,707.5564,698.03931,668.30419,745.65578,808.57578,828.9589,889.58779,1006.51772,1169.60659,1380.06306,1380,1380
Solomon Islands,1.20615,1.20945,1.25326,1.25326,1.29645,1.42556,1.32337,1.48542,1.43288,1.32337,1.46274,1.5,1.81641
Sri Lanka,74.60048,73.3791,76.40786,78.26835,80.99088,87.11212,84.38531,87.23668,85.6071,86.99831,81.71558,90,91.87742
Taiwan,865.3021,881.72385,893.73787,929.9011,948.02225,939.4891,959.90644,952.49781,888.79411,933.25679,971.99118,1030,1079.94549
Thailand,724.94033,701.61045,763.2703,832.31745,915.46632,930.89366,952.08511,941.344,729.12159,973.54812,1010.54295,1020,1009.01601
Timor-Leste (East Timor),--,--,--,1.10379,1.20016,1.20016,1.2206,2.20458,1.30822,1.26441,1.26441,1.3,1.97827
Tonga,0.91787,0.87811,0.77959,0.77959,0.84227,1.03482,1.1732,1.20222,1.20222,1.20222,1.20222,1.2,1.24326
U.S. Pacific Islands,2.00825,2.01375,2.01375,2.01375,2.00825,2.01375,2.06,2.1,2.39,2.06,2.41,2,1.937
Vanuatu,0.56443,0.56597,0.60978,0.60978,0.6285,0.6711,0.65359,0.76112,0.67639,0.83765,0.83765,1,1.10887
Vietnam,175.70699,178.5697,192.90208,214.6203,238.37421,244.58767,250.72986,277.2157,292.78452,293.98692,320.36001,365,387.87724
Wake Island,8.97866,9.00326,9.15671,9.15671,9.13169,9.09145,9.3,9.6,9.076,9.3,9.076,9,8.73361
