Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Trinidad and Tobago,24.67671,28.99946,28.3146,31.34004,32.44875,34.93783,37.16455,38.56233,41.41216,37.25045,36.74786,40,43.68649
Turks and Caicos Islands,0.09783,0.10816,0.08378,0.08378,0.08355,0.08378,0.08,0.47008,1.04236,1.06279,1.06279,1,0.99222
Uruguay,43.17581,34.10713,37.04171,36.69401,38.47339,40.14169,46.7988,45.30175,59.5088,59.2831,55.90983,55,50.03497
Venezuela,499.70728,544.46617,570.67316,540.64298,552.84573,583.15155,630.97502,691.10455,862.39214,674.67632,718.18662,750.88141,776.89996
Virgin Islands,  U.S.,66.08131,91.69868,93.24432,108.77621,110.89677,108.74795,115.57056,113.13775,108.33,111.25516,113.5118,138,152.43016
Virgin Islands, British,0.41139,0.41252,0.41252,0.47677,0.60434,0.64981,0.69142,0.75189,0.783,0.77261,0.77261,0.8,1.08934
Albania,21.03669,22.68161,24.27649,27.39992,28.82831,31.20335,31.88928,31.54438,29.99137,27.5558,25.86851,28,27.81983
Austria,250.5984,267.0438,273.6192,288.811,295.3716,299.2521,298.8164,292.9671,282.7623,271.4795,279.3945,265.2589,258.765
Belgium,606.3169,609.0685,617.2685,654.5534,656.541,659.811,638.2274,640.3753,716.6148,630.2,655.1918,622.6301,617.8224
Bosnia and Herzegovina,19.23178,19.28447,20.12625,21.76819,24.94068,26.04668,25.78386,26.05485,27.25386,27.75153,28.57973,28,29.04339
Bulgaria,99.8835,101.30681,105.73424,102.21437,104.45404,113.89735,116.04728,114.0509,104.93288,101.98057,103.12483,105,114.99258
Croatia,85.53877,85.53626,89.48719,91.34114,95.49809,95.75973,103.32823,98.01701,95.25647,90.16155,82.77325,92,93.46071
Cyprus,47.49666,51.62806,50.88289,51.59596,54.54117,55.50742,58.10441,58.0969,60.28334,57.848,55.97567,58,60.04257
Czech Republic,169.8142,178.7534,175.9973,187.5726,205.8989,212.948,211.5069,211.2411,215.0273,205.4795,201.4,196.9151,195.4918
Denmark,210,213.4109,197.1644,188.2712,185.3333,183.463,190.4493,190.6137,181.0546,166.5123,167.4685,163.9589,155.4918
Faroe Islands,4.46232,4.45795,4.49115,4.53496,4.57989,4.63625,4.92167,4.77551,4.85893,4.87937,4.66072,5,4.87722
Finland,212.8224,211.537,217.2055,220.3671,219.2322,218.4493,223.3562,227.274,217.5273,206.4,215.9452,207.6849,196.5137
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,62.47702,81.93629,83.81769,84.66936,85.07921,86.087,--,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--
