Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,15.685,15.533,15.552,15.615,15.648,16.096,16.26,16.38,16.76,17.488,18.321,20.7876
Bosnia and Herzegovina,3.94,3.95,4.337,4.337,4.337,4.31,4.598,4.598,4.304,4.304,4.304,4.304
Bulgaria,12.019,11.844,12.95,12.125,12.325,12.489,12.243,9.72,9.658,9.458,10.009,10.2942
Croatia,3.407,3.595,3.795,3.805,4,3.871,3.884,3.911,3.913,4.021,4.132,4.171
Cyprus,0.737,0.988,0.989,0.995,0.995,1.125,1.135,1.141,1.12,1.392,1.527,1.1101
Czech Republic,16.174,16.261,17.058,17.073,17.222,17.025,17.259,17.416,17.583,18.166,18.081,19.9764
Denmark,12.318,12.487,12.641,12.914,12.987,13.037,12.976,13,13.039,13.411,13.435,13.5108
Faroe Islands,0.08715,0.09615,0.09615,0.0981,0.0975,0.0991,0.0991,0.0991,0.1001,0.1001,0.1001,0.1001
Finland,16.261,16.506,16.569,16.556,16.567,16.468,16.562,16.703,16.668,16.343,16.693,16.7322
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,9.644,9.644,9.315,9.315,9.225,8.732,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,115.047,116.295,116.997,116.66,116.877,115.787,115.716,116.55,117.7475,119.1095,124.3905,130.3876
Germany,117.268,119.005,124.135,124.2612,124.6642,124.992,131.715,134.296,139.276,146.871,153.247,159.507
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.035,0.035,0.035,0.035,0.038,0.038,0.038,0.038,0.043,0.043,0.043,0.043
Greece,10.904,10.992,11.576,12.08,12.431,13.306,13.57,13.686,14.253,14.363,15.117,16.5343
Hungary,8.16,8.282,8.403,8.2,8.522,8.475,8.509,8.546,8.617,8.813,8.882,9.5307
Iceland,1.383,1.46,1.506,1.507,1.508,1.537,1.725,2.363,2.574,2.571,2.579,2.669
Ireland,4.707,4.717,5.432,5.641,5.8,6.152,6.443,7.283,7.232,7.43061,8.34661,8.5717
Italy,75.352,76.001,76.415,78.128,81.336,85.265,89.181,93.285,98.311,101.134,106.188,118.22
Luxembourg,1.227,1.239,1.634,1.655,1.682,1.683,1.684,1.685,1.699,1.703,1.723,1.7397
Macedonia,1.444,1.446,1.446,1.458,1.526,1.55,1.557,1.558,1.564,1.576,1.845,1.845
Malta,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.5715,0.5726,0.5776
Montenegro,--,--,--,--,--,--,0.868,0.868,0.868,0.868,0.868,0.868
Netherlands,21.016,20.336,20.818,20.86,21.762,21.729,22.877,23.702,24.775,25.897,26.583,27.907
Norway,28.964,28.56,28.253,28.341,28.449,29.099,29.271,29.94,30.53,31.235,31.654,31.758
Poland,30.559,30.673,30.815,31.642,31.888,32.257,32.36,32.497,32.677,33.034,33.3635,34.3182
Portugal,10.899,10.991,11.24,11.621,12.713,13.391,14.459,14.994,15.763,17.392,18.919,20.0369
Romania,22.56,21.518,20.314,20.023,20.281,19.27,19.276,20.117,20.264,20.5366,20.5895,21.3935
Serbia,--,--,--,--,--,--,8.344,8.344,8.344,8.359,8.359,8.827
Slovakia,7.254,8.12,7.921,8.004,8.07,8.049,7.603,7.163,6.849,7.0762,7.851,8.2103
Slovenia,2.637,2.832,2.997,2.99,2.985,2.992,3.039,3.035,2.99,3.05,3.193,2.2354
Spain,53.889,55.828,60.494,71.81,69.657,76.588,81.329,88.784,93.783,96.585,101.788,101.8442
Sweden,33.675,33.813,32.499,33.367,33.692,32.824,33.669,34.26,34.001,35.484,36.84,35.2827
Switzerland,17.223,17.286,17.303,17.389,17.427,17.468,17.46,17.582,17.624,17.728,19.925,20.0365
Turkey,27.264,28.332,31.846,35.587,36.824,38.843,40.565,40.835,41.818,44.759,49.524,53.8582
United Kingdom,77.985,79.376,76.299,77.798,79.82,82.379,83.629,83.538,84.876,86.845,93.079,93.1503
Armenia,3.341,3.297,3.3414,3.3204,3.1744,3.1775,3.20564,3.14864,3.16114,3.17214,3.47064,3.4746
Azerbaijan,4.9425,5.1805,5.341,5.695,5.715,5.212,5.624,5.7302,5.8002,6.3902,6.3996,6.398
Belarus,7.859,7.86,7.913,7.955,7.957,7.9609,8.0279,8.0309,8.0309,8.0319,8.0319,8.0319
Estonia,2.7992,2.445,2.408,2.414,2.692,2.559,2.558,2.635,2.694,2.66105,2.75108,2.8252
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,4.354,4.35,4.35,4.388,4.388,4.408,4.323,4.323,4.35,4.35,4.35,4.35
Kazakhstan,18.096,18.445,18.552,18.65,18.763,18.747,18.7475,18.7475,18.7475,18.7475,18.7477,18.749
Kyrgyzstan,3.759,3.779,3.779,3.72,3.72,3.743,3.728,3.739,3.741,3.741,3.766,3.766
Latvia,2.102,2.143,2.182,2.162,2.165,2.175,2.16,2.141,2.164,2.16408,2.20608,2.2255
Lithuania,4.948,4.951,5.703,5.712,4.531,4.538,4.579,4.614,4.656,3.522,3.588,3.6391
Moldova,1.034,1.03,1.03,0.397,0.396,0.396,0.396,0.544,0.551,0.552,0.55,0.562
Russia,204.476,206.326,214.0677,215.2568,216.8798,218.071,220.6135,223.1804,222.8074,224.1469,228.1203,231.6467
Tajikistan,4.443,4.443,4.443,4.443,4.443,4.426,4.426,4.426,4.426,4.426,4.426,4.426
Turkmenistan,3.106,3.106,3.106,3.106,3.1062,3.106,2.852,2.852,2.852,2.852,2.852,2.852
Ukraine,52.189,52.231,52.233,52.062,53.135,52.81,53.203,53.52,53.589,54.277,54.457,54.8931
Uzbekistan,11.69,11.631,11.751,11.751,11.751,12.551,12.551,12.359,11.58,11.879,12.349,12.35
Bahrain,1.349,1.379,2.506,2.629,1.849,2.319,2.767,2.777,2.77783,3.16883,3.16883,3.16883
Iran,32.477,34.222,36.429,39.613,42.77,44.413,47.438,50.858,52.964,56.173,61.461,65.311
Iraq,5.31,5.31,3,3.4,7.61,9.087,9.45,9.498,13.078,14.383,14.171,16.952
Israel,9.1426,9.693,9.891,10.027,10.267,10.606,11.092,11.569,11.665,12.067,14.531,13.94
Jordan,1.6614,1.6624,1.7904,1.7904,1.9074,1.9089,2.1009,2.1974,2.5354,2.6164,3.1384,3.3814
Kuwait,9.365,9.392,9.281,9.856,9.856,10.858,10.858,10.944,11.641,12.579,13.383,13.5
Lebanon,2.2925,2.294,2.531,2.663,2.663,2.32,2.314,2.314,2.314,2.314,2.318,2.313
Oman,2.305,2.302,2.304,2.788,3.024,2.983,3.314,3.42,3.859,4.202,4.265,4.861
Palestinian Territories,0,0.05,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Qatar,2.248,2.338,2.538,2.676,2.9,2.829,3.028,3.164,4.314,5.321,7.83,7.83
Saudi Arabia,23.792,25.282,28.457,30.219,30.673,33.535,35.885,36.559,39.242,44.485,49.05,51.148
Syria,7.459,8.262,7.802,7.671,7.671,7.57,7.7963,8.5233,7.8864,8.3226,8.3226,8.3226
United Arab Emirates,8.28,8.611,9.13,12.172,13.55,15.71,17.28,18.474,19.814,20.579,23.225,26.142
Yemen,0.882,0.882,0.96,0.997,1.105,1.116,1.132,1.16,1.22,1.33,1.568,1.533
