Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Venezuela,62.506,64.959,64.04,65.413,69.503,72.298,78.014,79.89276,83.55364,83.76686,91.50848,91.50848
Virgin Islands  U.S.,0.95325,0.90024,0.90954,0.90954,0.91791,0.79487,0.8033,0.80988,0.78452,0.81096,0.76725,0.76725
Virgin Islands British,0.0372,0.03543,0.03534,0.03906,0.03906,0.03906,0.04185,0.04185,0.04371,0.04557,0.0465,0.0465
Albania,3.75836,3.54878,4.54556,4.11058,3.7776,3.7388,2.99142,3.69368,4.276,4.49194,4.66894,4.66894
Austria,53.61542,55.71318,56.2648,58.21184,59.38608,60.98782,63.41748,63.73314,63.84022,61.05422,63.8005,63.8005
Belgium,78.53076,79.28752,80.098,81.41356,83.23096,82.64408,85.2961,85.09044,85.02778,78.84978,84.68056,84.68056
Bosnia and Herzegovina,7.3399,7.38858,7.48098,7.8861,8.27506,8.54176,8.47288,8.45802,10.56564,10.17526,11.06712,11.06712
Bulgaria,27.4082,27.33136,28.27948,28.01322,27.82862,28.7464,30.01436,31.08473,31.94558,30.32148,30.45904,30.45904
Croatia,12.18404,12.34516,12.74052,12.83796,13.5151,14.23518,14.97544,15.45288,16.10266,15.28908,15.59012,15.59012
Cyprus,2.98,3.105,3.391,3.65,3.735,3.95,4.152,4.364,4.621,4.646,4.794,4.794
Czech Republic,53.637,55.48092,55.41756,56.7624,58.1821,59.54522,61.3262,61.71662,62.38862,58.99844,61.18942,61.18942
Denmark,32.78184,32.88744,33.20028,33.3268,33.92788,34.55092,34.97284,34.72604,34.35986,32.81816,33.56196,33.56196
Faroe Islands,0.18974,0.20569,0.21457,0.2218,0.22242,0.21925,0.23237,0.24126,0.24631,0.246,0.24899,0.24899
Finland,76.2067,78.16886,80.51898,81.70888,83.97366,81.58986,86.9417,87.1982,83.5413,78.18744,84.82652,84.82652
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,30.205,29.998,30.692,30.285,29.784,27.254,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,409.83866,420.5107,418.25338,435.4882,447.00428,450.20906,445.60718,447.45418,459.9865,444.21736,470.95336,470.95336
Germany,509.08148,520.1949,532.51744,537.19062,543.85526,545.63408,550.12902,550.90258,548.17942,514.96474,549.11936,549.11936
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0.10928,0.11015,0.11277,0.11714,0.11889,0.12676,0.132,0.1355,0.14512,0.15211,0.15473,0.15473
Greece,45.97792,47.33954,49.5354,51.67068,52.99664,54.13574,55.8125,58.35748,59.65142,58.8956,56.40104,56.40104
Hungary,31.83722,32.88344,33.99772,34.92322,35.34814,36.1492,37.18062,37.85576,37.93284,35.9958,36.86872,36.86872
Iceland,7.3037,7.61376,7.95064,7.93864,8.16976,8.2347,9.44376,11.39788,15.76788,16.20288,16.23388,16.23388
Ireland,20.24872,20.8957,21.78134,22.36862,23.11974,24.00382,25.08454,25.29782,26.35386,24.95558,25.18222,25.18222
Italy,278.36228,284.27174,290.61424,294.97176,302.0686,306.6837,313.76748,314.7246,314.60606,297.3537,306.7789,306.7789
Luxembourg,5.8151,6.16693,5.74857,5.9818,6.22082,5.98358,6.44118,6.5513,6.48188,5.98342,6.44486,6.44486
Macedonia,5.54954,5.29284,5.31796,6.04816,6.1399,6.60982,6.78346,7.14072,7.26374,6.73252,7.08526,7.08526
Malta,1.56698,1.57042,1.65888,1.80784,1.79204,1.8496,1.84934,1.84424,1.84128,1.69992,1.60222,1.60222
Montenegro,--,--,--,--,--,--,3.66888,3.4504,3.47366,2.95966,3.27868,3.27868
Netherlands,99.12144,101.21154,102.47742,103.88222,108.3509,108.35072,109.87952,112.22336,112.94008,107.83818,110.03782,110.03782
Norway,112.97648,115.49142,109.59382,103.7594,109.15352,113.3632,110.47878,113.95484,115.68164,112.50628,120.89562,120.89562
Poland,113.33634,113.62904,112.02992,115.86062,119.1973,119.88156,125.94178,129.486,132.26124,127.55964,134.83908,134.83908
Portugal,38.56018,40.25568,41.61664,43.4106,45.0873,46.31462,48.03012,49.09648,48.67642,48.32642,50.25652,50.25652
Romania,42.354,43.107,42.639,45.565,46.752,47.931,48.886,49.76354,50.592,45.601,48.391,48.391
Serbia,--,--,--,--,--,--,28.068,28.72022,28.93598,28.28732,29.08208,29.08208
Slovakia,24.85558,25.27724,25.38422,25.20378,25.75062,24.8617,25.94834,26.791,26.83878,25.15888,26.27184,26.27184
Slovenia,10.98846,11.35354,12.12664,12.51132,12.99748,13.17588,13.63146,13.72935,13.2791,11.75355,12.59736,12.59736
Spain,193.91716,206.60256,212.10284,222.9205,232.26668,241.31212,262.37638,265.35748,272.67062,258.50244,267.04382,267.04382
Sweden,135.15614,137.73874,135.6542,133.07658,133.82322,134.6616,134.18148,135.20764,132.77434,127.82932,135.95768,135.95768
Switzerland,52.63296,54.31242,54.08398,55.4578,56.44618,57.59196,58.0889,57.73498,59.03852,57.80098,59.72716,59.72716
Turkey,98.58816,97.40202,102.5606,110.4469,120.05146,129.0268,141.48314,153.69508,160.4358,155.33296,170.37174,170.37174
United Kingdom,335.56762,338.5437,339.83164,342.68598,343.00738,353.2221,350.69808,348.43532,345.51422,327.36008,329.28658,329.28658
Armenia,3.69148,3.6946,3.44126,3.69574,4.19614,4.16382,4.54284,4.77647,4.66243,4.56876,4.70972,4.70972
Azerbaijan,15.4061,15.56992,16.13262,18.30104,19.08472,19.08046,20.03642,16.98402,16.69734,13.47952,13.56722,13.56722
Belarus,28.36256,24.70802,26.35038,26.59406,29.01344,29.5093,30.42908,30.5467,31.07838,29.54872,31.7436,31.7436
Estonia,5.87254,5.8305,6.14144,6.52174,6.78336,6.88836,7.32888,7.6933,7.88696,7.48072,7.9478,7.9478
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,6.27416,6.2263,6.3986,6.81196,7.0135,7.35514,6.69368,6.90516,7.09154,6.84924,7.62158,7.62158
Kazakhstan,44.46942,49.17544,49.81588,52.78854,54.32372,57.09254,61.32066,65.29538,69.05298,67.19114,72.61356,72.61356
Kyrgyzstan,9.114,8.14464,7.73506,9.5894,8.13492,9.20264,10.1833,8.99966,7.47378,7.2896,7.3258,7.3258
Latvia,4.91522,5.01854,5.0766,5.58478,5.78042,6.09548,6.4277,6.82942,6.84128,6.32622,6.56048,6.56048
Lithuania,8.26574,8.00776,8.21864,8.5413,8.96488,9.15111,9.59636,9.8765,10.24618,9.48364,9.24402,9.24402
Moldova,3.47312,3.2365,3.73914,4.73106,4.95976,5.28802,5.56796,4.57638,4.53226,3.34486,3.52556,3.52556
Russia,715.612,719.277,728.789,742.568,763.484,776.908,816.17,844.544,857.768,818.2919,861.473,861.473
Tajikistan,13.29,13.189,14.105,13.817,14.223,14.418,14.618,14.4482,14.98618,13.28198,13.5961,13.5961
Turkmenistan,6.853,6.642,7.507,7.578,8.367,9,9.584,10.44838,10.56078,11.22138,11.11858,11.11858
Ukraine,125.121,125.92,127.038,132.959,139.897,142.028,147.904,152.94286,152.185,139.81,150.423,150.423
Uzbekistan,41.345,41.2,42.228,42.378,42.927,42.162,43.751,41.941,42.5716,42.9408,44.5148,44.5148
Bahrain,5.36218,5.79626,6.29832,6.99892,7.54412,7.92398,8.7323,10.10852,9.83902,10.05564,11.6112,11.6112
Iran,94.35608,101.70472,109.41404,119.98682,126.99336,135.32598,146.07354,153.26264,162.10814,168.7134,182.7044,182.7044
Iraq,27.27666,28.13102,29.53124,24.99458,29.68088,20.997,25.22542,20.12058,19.75297,30.19193,35.12328,35.12328
Israel,36.7402,38.13414,39.37292,40.88212,40.9896,42.11322,43.56102,46.30192,47.489,45.59454,48.73266,48.73266
Jordan,6.54602,6.48612,6.96774,7.36036,8.1247,8.52366,9.3944,10.38638,11.28616,11.63882,12.57452,12.57452
Kuwait,26.82762,28.46806,30.18028,33.03588,34.24264,36.14296,39.31358,39.87682,42.13006,43.40804,46.71426,46.71426
Lebanon,9.20952,9.25796,10.42242,10.93134,10.44052,10.60778,10.3451,10.76678,11.45602,12.34206,14.18762,14.18762
Oman,6.715,7.301,7.603,7.827,8.675,9.542,11.053,10.96798,12.52626,14.11562,15.31786,15.31786
Palestinian Territories,2.263,2.11369,2.4372,2.61353,2.94303,3.2991,3.39732,3.55256,4.236,4.4201,4.57285,4.57285
Qatar,7.953,8.66,9.52,10.454,11.523,12.513,14.841,16.906,18.789,17.327,20.513,20.513
Saudi Arabia,109.489,118.078,123.404,136.818,137.355,146.978,156.75,163.413,174.236,186.092,190.875,190.875
Syria,16.125,17.752,19.516,20.787,23.084,25.385,26.912,27.07816,29.34876,29.08548,35.61174,35.61174
United Arab Emirates,36.196,37.484,40.956,43.213,45.806,52.62,57.882,65.97764,74.7804,78.52962,85.16932,85.16932
Yemen,2.26,2.394,2.609,2.872,3.126,3.407,3.688,4.13338,4.64624,4.70036,5.51458,5.51458
Algeria,19.71552,20.64764,21.62354,23.61164,24.42506,27.5164,26.91052,28.3348,30.49982,28.06366,33.67584,33.67584
Angola,1.19302,1.35274,1.45868,1.64976,1.59608,2.06798,2.85054,2.7178,3.64768,4.13154,4.59174,4.59174
Benin,0.39008,0.39516,0.39834,0.48832,0.5402,0.58264,0.61,0.66198,0.73844,0.77938,0.87006,0.87006
Botswana,1.71218,2.0224,2.19824,2.36456,2.47878,2.61398,2.68504,2.82844,2.91814,2.956,3.15658,3.15658
Burkina Faso,0.29574,0.37011,0.44938,0.48254,0.53518,0.58021,0.62216,0.66481,0.68352,0.76251,0.7731,0.7731
Burundi,0.123,0.14288,0.15404,0.14686,0.14856,0.16121,0.16242,0.18674,0.18109,0.19346,0.22136,0.22136
Cameroon,2.68272,2.59298,2.49792,2.76264,3.2696,3.25408,4.40374,4.6358,5.01868,5.10124,5.1812,5.1812
Cape Verde,0.12834,0.14415,0.15903,0.17391,0.19158,0.20646,0.21948,0.23529,0.2511,0.26133,0.26691,0.26691
Central African Republic,0.09765,0.09858,0.09858,0.09951,0.13857,0.14787,0.15438,0.1488,0.1488,0.14787,0.1488,0.1488
Chad,0.07998,0.08091,0.08091,0.08184,0.08463,0.08742,0.08928,0.09207,0.09021,0.09021,0.09114,0.09114
Comoros,0.01767,0.02604,0.02883,0.03069,0.03906,0.04185,0.04464,0.04092,0.03999,0.03813,0.0372,0.0372
Congo (Brazzaville),0.29394,0.287,0.414,0.38458,0.36298,0.41632,0.46214,0.47868,0.53384,0.58446,0.57626,0.57626
Congo (Kinshasa),4.53882,4.5667,4.41352,4.57658,4.60852,4.82958,5.6818,6.07184,6.03624,6.5879,6.1969,6.1969
Cote dIvoire (IvoryCoast),2.66284,2.8679,2.8131,2.8557,2.8844,2.89178,3.15102,3.34586,3.58996,3.70698,3.86504,3.86504
Djibouti,0.1674,0.16647,0.17484,0.17484,0.18786,0.2232,0.24459,0.25482,0.29295,0.29667,0.30225,0.30225
Egypt,63.24366,67.91134,72.48158,78.49944,82.87128,89.45256,96.23424,104.13392,109.13458,115.81896,122.37136,122.37136
Equatorial Guinea,0.03906,0.05022,0.05673,0.07068,0.0744,0.07905,0.0837,0.08742,0.08742,0.08742,0.09021,0.09021
Eritrea,0.15946,0.18008,0.20052,0.21644,0.21808,0.22478,0.21598,0.22784,0.2249,0.24242,0.25346,0.25346
Ethiopia,1.48962,1.78896,1.81774,2.04204,2.25892,2.53128,2.9084,3.16828,3.35808,3.55166,4.45144,4.45144
Gabon,1.0427,1.09906,1.1676,1.19682,1.21214,1.22772,1.30794,1.36332,1.43784,1.45398,1.44214,1.44214
Gambia The,0.10277,0.11811,0.13206,0.14694,0.16182,0.17763,0.18879,0.19995,0.21111,0.21111,0.2139,0.2139
Ghana,5.96522,6.45594,5.95948,4.4619,4.47638,5.21146,6.3874,5.38194,6.01732,6.36452,5.3108,5.3108
Guinea,0.69099,0.86769,0.91512,0.80445,0.87606,0.81933,0.78399,0.87606,0.89931,0.89466,0.90117,0.90117
Guinea-Bissau,0.05115,0.05208,0.05208,0.05301,0.05487,0.0558,0.05766,0.06138,0.06045,0.06231,0.06231,0.06231
Kenya,3.39656,3.84752,3.93662,4.22798,4.56942,4.7509,5.16128,5.4376,5.54344,5.60926,6.14978,6.14978
Lesotho,0.27984,0.30505,0.30802,0.34025,0.30121,0.33571,0.22414,0.23414,0.236,0.293,0.307,0.307
Liberia,0.28551,0.29574,0.29574,0.27993,0.2883,0.29574,0.3069,0.30876,0.30876,0.31155,0.31155,0.31155
Libya,10.97424,11.31134,12.09914,12.45642,13.23688,18.35298,20.83348,22.34136,22.88598,24.29044,25.23822,25.23822
Madagascar,0.7254,0.82398,0.80538,0.9207,1.023,1.03323,1.05462,1.10112,1.14576,1.14855,1.12623,1.12623
Malawi,1.11972,1.1439,1.19598,1.22202,1.35036,1.40709,1.44243,1.47405,1.63959,1.76607,1.83489,1.83489
Mali,0.37107,0.37386,0.37572,0.40362,0.4185,0.42501,0.43989,0.44547,0.45663,0.46407,0.4836,0.4836
Mauritania,0.21358,0.25854,0.46593,0.44175,0.48174,0.46407,0.54498,0.56358,0.63147,0.66216,0.65193,0.65193
Mauritius,1.56354,1.67461,1.71236,1.83304,1.90643,1.99491,2.05904,2.15869,2.2433,2.26212,2.35839,2.35839
Morocco,13.05014,14.35086,14.85642,16.3607,17.41062,17.69354,19.30616,20.65638,21.48728,22.22938,23.61324,23.61324
Mozambique,4.14936,7.00236,5.76672,8.14578,8.81824,9.10874,9.5278,10.15722,10.17522,10.19322,10.21186,10.21186
Namibia,1.713,1.90064,2.50994,2.47116,2.77094,3.03202,3.36164,3.2072,3.84808,3.48122,3.33356,3.33356
Niger,0.36954,0.36508,0.37096,0.4024,0.47077,0.5157,0.56926,0.62112,0.648,0.7396,0.8325,0.8325
Nigeria,8.491,8.819,14.27,12.566,15.659,16.935,14.855,19.26094,18.14066,17.65712,20.37518,20.37518
Reunion,1.58844,1.59216,1.62285,1.6275,1.66191,1.69074,1.71771,1.79676,1.89441,1.88697,1.88325,1.88325
Rwanda,0.19909,0.20493,0.21978,0.22867,0.19863,0.19216,0.2108,0.22913,0.25238,0.28053,0.31959,0.31959
Saint Helena,0.00465,0.00465,0.00465,0.00651,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744,0.00744
Sao Tome and Principe,0.02604,0.02232,0.0279,0.02883,0.03255,0.03627,0.0372,0.03813,0.02976,0.02976,0.0279,0.0279
Senegal,0.941,1.147,1.194,1.1,1.248,1.508,1.659,1.96248,1.76494,2.17286,2.21956,2.21956
Seychelles,0.16554,0.1674,0.19065,0.1953,0.19716,0.20181,0.22041,0.23715,0.23529,0.24087,0.26319,0.26319
Sierra Leone,0.08277,0.12183,0.13764,0.12555,0.10416,0.07254,0.03627,0.05301,0.0558,0.08556,0.13485,0.13485
Somalia,0.21855,0.22785,0.23994,0.25389,0.24459,0.25389,0.26226,0.27156,0.27993,0.28365,0.2883,0.2883
South Africa,180.10286,180.28528,190.3731,196.13168,200.0067,205.04504,210.6331,219.6572,212.25832,206.08138,214.98438,214.98438
Sudan and South Sudan,2.585,2.271,2.635,2.802,2.874,3.385,3.783,4.1348,4.55542,5.89434,6.359,6.359
Swaziland,1.04222,1.05657,1.22029,1.15061,1.01041,1.2347,1.14781,1.26055,1.15409,1.18194,1.05828,1.05828
Tanzania,1.931,2.07,2.213,2,2.35,2.575,2.634,3.3701,3.4844,3.1979,3.40304,3.40304
Togo,0.512,0.476,0.57,0.43,0.5819,0.6079,0.6158,0.59886,0.6351,0.6542,0.67614,0.67614
Tunisia,8.848,9.452,9.818,10.267,10.722,11.266,11.519,11.04312,11.52436,12.50544,13.28658,13.28658
Uganda,1.28401,1.28236,1.29275,1.41701,1.5647,1.72886,1.47601,1.83898,2.08394,1.97873,2.19158,2.19158
Western Sahara,0.0744,0.0744,0.07905,0.07905,0.07905,0.07905,0.0837,0.0837,0.0837,0.0837,0.0837,0.0837
Zambia,6.143,6.531,7.082,7.529,8.228,8.589,8.802,8.2082,7.4792,7.41808,7.95996,7.95996
Zimbabwe,10.411,10.074,10.176,10.28,9.979,12.18,12.205,12.42902,12.4959,12.54242,12.56738,12.56738
Afghanistan,0.53431,0.65056,0.73891,0.97327,0.93142,0.97362,1.21041,1.48878,1.49322,2.00511,2.48907,2.48907
American Samoa,0.14787,0.14973,0.15624,0.16461,0.16461,0.16554,0.16833,0.17112,0.17391,0.16554,0.14787,0.14787
Australia,182.96956,193.37082,199.56076,200.58156,205.16246,200.1543,204.14884,214.78998,214.66106,215.71644,213.53814,213.53814
Bangladesh,12.456,13.98606,15.22806,16.31784,21.23052,23.01972,26.3896,27.89836,31.26602,34.8346,38.8949,38.8949
Bhutan,0.28949,0.40262,0.516,0.555,0.597,0.595,0.721,0.924,1.134,1.42914,1.6801,1.6801
Brunei,2.36142,2.11726,2.19894,2.60754,2.94616,2.95316,2.92412,3.0263,3.05362,3.17728,3.26228,3.26228
Burma (Myanmar),3.30344,3.03898,3.61858,4.029,3.92994,3.70586,4.15166,4.2362,4.50694,4.83752,6.09272,6.09272
Cambodia,0.38218,0.38652,0.59712,0.64116,0.61662,0.7407,1.01834,1.33856,1.47798,1.68912,2.0083,2.0083
China,1178.033,1314.783,1459.429,1676.829,1955.39,2193.315,2525.046,2874.065,3054.078,3271.189,3633.786,3633.786
Cook Islands,0.02241,0.02241,0.02427,0.0252,0.02523,0.02523,0.02802,0.02895,0.02988,0.02895,0.02895,0.02895
Fiji,0.51903,0.57111,0.58041,0.60366,0.62226,0.65574,0.70317,0.73851,0.74874,0.75339,0.80826,0.80826
French Polynesia,0.36177,0.43896,0.48546,0.53196,0.56916,0.55893,0.58311,0.61008,0.63612,0.64914,0.62496,0.62496
Guam,1.72028,1.7205,1.51869,1.56612,1.65075,1.66749,1.66413,1.64366,1.6408,1.63215,1.63494,1.63494
Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,34.422,35.362,36.03,36.327,36.997,37.74,38.018,38.518,38.6511,39.168,39.566,39.566
India,375.92224,384.08308,402.92952,427.40212,456.48422,482.85706,532.00062,591.33473,617.33749,660.97922,698.8249,698.8249
Indonesia,77.66996,82.9794,85.0239,88.86252,99.59422,106.42486,111.2683,119.4495,126.45522,133.47368,145.09678,145.09678
Japan,942.6211,926.53938,940.81638,932.36084,961.60784,979.08604,985.32062,1010.50468,965.88984,938.15972,1002.38328,1002.38328
Kiribati,0.01209,0.01023,0.01209,0.01488,0.01767,0.01953,0.02046,0.02046,0.01953,0.02139,0.02325,0.02325
Korea North,15.68,16.325,15.99558,17.00626,17.80756,18.57414,18.17504,17.49342,18.84872,17.11626,17.6171,17.6171
