Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Uruguay,6.51914,4.9478,5.37004,5.56014,6.03891,6.28745,7.37054,7.03294,8.00138,9.06087,8.46518,8.32609
Venezuela,134.44861,148.69568,146.69859,133.64458,143.3813,145.87801,150.55214,152.6701,161.79438,157.55979,174.15738,182.66089
Virgin Islands  U.S.,9.83616,13.6362,13.05693,14.57921,17.66348,15.621,16.58445,14.74716,12.93401,15.21083,15.56387,18.5938
Virgin Islands British,0.06038,0.06038,0.06039,0.0699,0.08895,0.09531,0.10166,0.11116,0.11827,0.11372,0.11372,0.14719
Albania,3.26206,3.57044,3.75629,4.21756,4.35083,4.62263,4.55077,4.38741,4.37229,2.81575,3.80124,4.18272
Austria,63.83874,67.72159,70.66073,74.11324,75.54193,77.4961,73.18326,72.57579,71.18608,65.58184,69.30094,67.18218
Belgium,148.10293,145.29199,142.21544,150.91553,153.35375,150.83044,142.32897,141.71804,154.74387,132.74756,136.2484,131.06315
Bosnia and Herzegovina,15.12668,14.78228,15.91154,16.12983,17.14301,18.37946,19.08307,18.63897,21.03717,21.44209,21.93297,22.1952
Bulgaria,49.02571,52.36949,47.96401,51.65898,51.12017,52.25247,52.90459,51.89924,50.61403,42.52315,45.58302,52.44446
Croatia,20.10266,20.241,21.09237,22.38863,21.66868,20.97916,22.80971,21.91373,22.31975,20.03942,19.58708,22.35102
Cyprus,7.53154,8.19411,8.10356,8.10904,8.59759,8.83332,9.35872,9.32367,9.80452,9.22543,8.86668,9.50276
Czech Republic,94.59531,95.57338,92.54139,93.3943,90.2912,93.91269,96.83236,103.5454,99.10063,92.09819,94.68667,92.39661
Denmark,54.49763,56.04486,53.13928,61.69471,56.31166,51.86772,59.31292,56.87549,54.21517,49.30729,45.8771,46.66476
Faroe Islands,0.67384,0.67386,0.67388,0.68019,0.68859,0.6929,0.78669,0.71094,0.6997,0.72467,0.73198,0.78526
Finland,50.12223,53.09972,53.56079,66.65487,61.46356,51.92397,57.91933,58.1547,54.85368,51.60949,54.64973,54.05596
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,46.02717,47.57812,52.75651,56.49377,57.32045,54.41256,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--
France,401.65133,405.63546,401.7274,408.38341,410.91407,413.96205,416.3678,423.05632,428.5457,386.15036,388.66282,374.32734
Germany,854.65732,877.98355,855.33033,871.92817,867.4659,847.35868,850.62032,826.7167,823.31124,772.42236,793.30616,748.48561
Germany East,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,7.29595,3.96678,4.02884,4.14161,4.28478,4.37765,4.4832,4.622,4.55158,4.86385,4.94606,4.90493
Greece,101.28763,103.12057,102.39419,106.18444,105.1597,105.32918,105.72397,109.46711,106.04136,99.82669,92.87872,91.29833
Hungary,55.35246,57.37571,57.45421,59.59952,58.04989,59.49867,58.51219,56.62752,56.0523,50.94708,51.31713,49.56284
Iceland,3.17456,3.03775,3.16903,3.18793,3.31729,3.31724,3.40521,3.87777,3.69561,3.36309,3.26917,3.80874
Ireland,40.68223,43.30464,42.37211,41.41226,43.54984,44.53907,46.07225,45.1305,45.48569,39.31496,38.24152,36.56834
Italy,447.72292,444.807,451.82681,472.22356,468.92518,471.88539,467.48605,459.5288,449.74859,407.6301,416.8183,400.93916
Luxembourg,9.02216,9.58001,10.40889,10.9829,12.29789,12.62199,12.45234,12.1445,11.96111,11.43675,12.15519,11.86869
Macedonia,8.41702,8.30939,8.11957,8.21171,8.15741,8.00414,7.93511,8.08239,8.67102,8.01202,7.64031,6.94678
Malta,2.91414,2.4707,2.93537,2.92473,2.98241,3.08428,2.94229,3.10463,3.17696,6.68233,8.00422,6.83
Montenegro,--,--,--,--,--,--,1.7717,1.61647,2.15759,1.54964,2.03002,2.1662
Netherlands,246.26736,261.48261,254.19136,257.60778,264.54851,268.47709,269.9252,258.10382,249.49727,243.75934,254.8712,252.99593
Norway,41.25803,41.51977,42.40905,45.46122,48.11962,42.05884,41.04376,42.15949,40.02858,44.71699,45.10317,45.86907
Poland,292.56379,276.41784,275.57246,284.78862,292.18569,287.58905,299.14629,295.94881,294.69969,286.47039,304.72272,307.91092
Portugal,63.54049,61.10896,65.98679,61.86158,63.387,66.06746,61.47421,59.61391,55.73528,58.40664,54.21015,54.17396
Romania,93.27748,102.00258,99.991,99.6993,100.30064,97.13741,99.29826,98.72974,93.92158,78.4657,76.34094,86.18996
Serbia,--,--,--,--,--,--,57.59068,55.04974,56.0188,54.82479,55.35806,58.49806
